gene,cell_type
Hsd17b4,vascular leptomeningeal cell (Mmus)
Hspa1b,kidney efferent arteriole endothelial cell
Hspa1b,basal epithelial cell of tracheobronchial tree
Hspa1b,skeletal muscle satellite cell
Hspa1b,muscle precursor cell
Hspa5,mesothelial cell of pleura
Hspa5,mesothelial cell of visceral pleura
Hspa5,type B pancreatic cell
Hspa5,luminal cell of prostate epithelium
Hspb2,mesangial cell
Hspd1,mesothelial cell
Hspd1,Leydig cell
Hspd1,skeletal muscle fiber
Hspg2,mesenchymal stem cell of adipose tissue
Hspg2,endothelial cell of coronary artery
Hspg2,endothelial cell of sinusoid
Hspg2,endothelial cell of hepatic sinusoid
Hspg2,cardiac endothelial cell
Hspg2,endocardial cell
Hspg2,fibroblast of cardiac tissue
Htr2c,ependymal cell
Icam1,ciliated cell of the bronchus
Icam1,vein endothelial cell
Icam1,epithelial cell of lung
Icam1,epithelial cell of alveolus of lung
Icam1,pneumocyte
Icam1,type I pneumocyte
Icam1,bronchial epithelial cell
Icos,lymphocyte
Icos,T cell
Icos,alpha-beta T cell
Icos,mature alpha-beta T cell
Icos,"CD4-positive, alpha-beta T cell"
Icos,mature T cell
Icos,regulatory T cell
Icos,double negative thymocyte
Icos,DN4 thymocyte
Icos,innate lymphoid cell
Id1,endothelial stalk cell
Id1,endothelial cell of coronary artery
Id1,kidney afferent arteriole endothelial cell
Id1,kidney efferent arteriole endothelial cell
Id1,cardiac endothelial cell
Id1,kidney cortex artery cell
Id1,smooth muscle cell of the pulmonary artery
Id1,tracheobronchial smooth muscle cell
Id1,bronchial smooth muscle cell
Id2,innate lymphoid cell
Id2,natural killer cell
Id2,stromal cell of ovary
Id2,interstitial cell of ovary
Id4,ependymal cell
Id4,neural progenitor cell
Idh1,kidney proximal convoluted tubule epithelial cell
Idh1,kidney proximal straight tubule epithelial cell
Idh2,Sertoli cell
Idh2,mesothelial cell of pleura
Idh2,mesothelial cell of visceral pleura
Ido1,luminal epithelial cell of mammary gland
Ido1,mammary gland epithelial cell
Ifi204,mesenchymal stem cell
Ifi204,mesenchymal stem cell of adipose tissue
Ifi204,classical monocyte
Ifi204,monocyte
Ifi204,fibroblast of connective tissue of prostate
Ifi27,duct epithelial cell
Ifi27,pancreatic ductal cell
Ifi27,vasa recta descending limb cell
Ifi27,Schwann cell
Ifi44,vasa recta descending limb cell
Ifi44,kidney efferent arteriole endothelial cell
Ifi44,kidney capillary endothelial cell
Ifi44,fenestrated cell
Ifi44,endothelial cell of lymphatic vessel
Ifit1,vasa recta descending limb cell
Ifit3,vasa recta descending limb cell
Ifit3,kidney capillary endothelial cell
Ifit3,fenestrated cell
Ifit3,kidney cortex artery cell
Ifit3,Schwann cell
Ifnar2,precursor B cell
Ifnar2,macrophage dendritic cell progenitor
Ifng,natural killer cell
Ifngr1,hematopoietic stem cell
Ifngr1,non-classical monocyte
Ifngr1,DN3 thymocyte
Ifngr1,innate lymphoid cell
Ifngr1,natural killer cell
Igf1,hepatocyte
Igf1,aortic smooth muscle cell
Igf1,sncg GABAergic cortical interneuron
Igf1,vip GABAergic cortical interneuron
Igf1,fibroblast of connective tissue of prostate
Igf1r,endothelial stalk cell
Igf1r,kidney loop of Henle thin descending limb epithelial cell
Igf2,mesothelial cell
Igf2,skeletal muscle fiber
Igf2,mesenchymal cell
Igf2bp1,skeletal muscle fiber
Igf2bp1,cell of skeletal muscle
Igf2bp1,mesenchymal cell
Igf2r,endocardial cell
Igfbp2,basal cell
Igfbp2,basal cell of epidermis
Igfbp2,stem cell of epidermis
Igfbp2,keratinocyte
Igfbp2,stratified epithelial cell
Igfbp2,bladder urothelial cell
Igfbp2,epidermal cell
Igfbp2,ovarian surface epithelial cell
Igfbp2,vascular leptomeningeal cell (Mmus)
Igfbp2,bladder cell
Igfbp3,vasa recta descending limb cell
Igfbp3,kidney capillary endothelial cell
Igfbp3,prostate gland microvascular endothelial cell
Igfbp3,hepatic stellate cell
Igfbp3,pulmonary interstitial fibroblast
Igkc,pancreatic A cell
Igkc,pancreatic D cell
Igkc,pancreatic PP cell
Igkc,PP cell
Igll1,B cell
Igsf11,neuron associated cell
Igsf11,glial cell
Igsf11,macroglial cell
Igsf11,astrocyte of the cerebellum
Igsf8,astrocyte
Igsf8,astrocyte of the cerebellum
Igsf8,leptomeningeal cell
Igsf8,pericyte
Igsf8,mural cell
Igtp,Schwann cell
Ikbkb,kidney efferent arteriole endothelial cell
Ikbkb,fenestrated cell
Ikbkb,glomerular endothelial cell
Ikzf1,hematopoietic cell
Ikzf1,immature alpha-beta T cell
Ikzf1,immature NK T cell
Ikzf1,immature T cell
Ikzf1,thymocyte
Ikzf1,double negative thymocyte
Ikzf2,urethra urothelial cell
Ikzf2,epithelial cell of urethra
Ikzf2,"CD4-positive, alpha-beta T cell"
Ikzf2,regulatory T cell
Il10ra,dendritic cell
Il10ra,conventional dendritic cell
Il10ra,intermediate monocyte
Il11ra1,stem cell
Il11ra1,mesenchymal stem cell
Il11ra1,mesenchymal stem cell of adipose tissue
Il11ra1,keratinocyte stem cell
Il11ra1,connective tissue cell
Il11ra1,fibroblast
Il11ra1,pancreatic stellate cell
Il11ra1,fibroblast of cardiac tissue
Il11ra1,stromal cell
Il11ra1,adventitial cell
Il13,mast cell
Il17ra,classical monocyte
Il17ra,monocyte
Il17ra,non-classical monocyte
Il17ra,intermediate monocyte
Il18,alveolar macrophage
Il18,lung macrophage
Il18r1,multi-ciliated epithelial cell
Il18r1,ciliated columnar cell of tracheobronchial tree
Il18r1,type I pneumocyte
Il18r1,innate lymphoid cell
Il18rap,eosinophil
Il18rap,innate lymphoid cell
Il18rap,natural killer cell
Il1r1,epithelial cell
Il1r1,pancreatic endocrine cell
Il1r1,type B pancreatic cell
Il1r1,pancreatic A cell
Il1r1,glandular epithelial cell
Il1r1,enteroendocrine cell
Il1r1,endocrine cell
Il1rap,oligodendrocyte
Il1rap,hippocampal neuron
Il1rl1,mast cell
Il1rl1,innate lymphoid cell
Il1rn,alveolar macrophage
Il1rn,lung macrophage
Il21r,hematopoietic stem cell
Il21r,mononuclear cell
Il21r,lymphocyte
Il21r,T cell
Il21r,immature T cell
Il21r,thymocyte
Il21r,double negative thymocyte
Il21r,DN3 thymocyte
Il21r,DN4 thymocyte
Il2ra,double negative thymocyte
Il2ra,DN3 thymocyte
Il2ra,innate lymphoid cell
Il2rb,mononuclear cell
Il2rb,lymphocyte
Il2rb,T cell
Il2rb,alpha-beta T cell
Il2rb,immature alpha-beta T cell
Il2rb,immature NK T cell
Il2rb,mature alpha-beta T cell
Il2rb,"CD4-positive, alpha-beta T cell"
Il2rb,"CD8-positive, alpha-beta T cell"
Il2rb,"effector CD8-positive, alpha-beta T cell"
Il2rb,mature NK T cell
Il2rb,mature T cell
Il2rb,double negative thymocyte
Il2rb,DN4 thymocyte
Il2rb,innate lymphoid cell
Il2rb,natural killer cell
Il2rg,endothelial cell of lymphatic vessel
Il2rg,T cell
Il2rg,alpha-beta T cell
Il2rg,immature alpha-beta T cell
Il2rg,immature NK T cell
Il2rg,mature alpha-beta T cell
Il2rg,"CD4-positive, alpha-beta T cell"
Il2rg,"CD8-positive, alpha-beta T cell"
Il2rg,mature T cell
Il2rg,double negative thymocyte
Il2rg,DN4 thymocyte
Il2rg,innate lymphoid cell
Il2rg,natural killer cell
Il33,pancreatic stellate cell
Il33,bladder cell
Il34,kidney loop of Henle thin descending limb epithelial cell
Il34,vascular leptomeningeal cell (Mmus)
Il34,fibroblast
Il34,pericyte
Il34,mural cell
Il3ra,eosinophil
Il3ra,mature B cell
Il3ra,naive B cell
Il4,mast cell
Il6st,vein endothelial cell
Il6st,prostate gland microvascular endothelial cell
Il6st,endothelial cell of lymphatic vessel
Il6st,endothelial cell of sinusoid
Il6st,endothelial cell of hepatic sinusoid
Il6st,endocardial cell
Il7,kidney distal convoluted tubule epithelial cell
Il7,kidney loop of Henle ascending limb epithelial cell
Il7,kidney loop of Henle thick ascending limb epithelial cell
Il7,kidney loop of Henle medullary thick ascending limb epithelial cell
Il7,kidney loop of Henle cortical thick ascending limb epithelial cell
Il7,kidney loop of Henle thin ascending limb epithelial cell
Il7,kidney loop of Henle epithelial cell
Il7r,plasmacytoid dendritic cell
Il7r,Langerhans cell
Il7r,mononuclear cell
Il7r,lymphocyte
Il7r,T cell
Il7r,alpha-beta T cell
Il7r,mature alpha-beta T cell
Il7r,"CD4-positive, alpha-beta T cell"
Il7r,"CD8-positive, alpha-beta T cell"
Il7r,mature NK T cell
Il7r,mature T cell
Il7r,regulatory T cell
Il7r,double negative thymocyte
Il7r,DN4 thymocyte
Il7r,innate lymphoid cell
Ilf2,mesothelial cell
Ilf2,skeletal muscle fiber
Ilf2,mesenchymal cell
Ilk,muscle cell
Ilk,vascular associated smooth muscle cell
Ilk,aortic smooth muscle cell
Impact,cortical interneuron
Impact,cerebral cortex GABAergic interneuron
Impact,sncg GABAergic cortical interneuron
Impact,sst GABAergic cortical interneuron
Impact,sst chodl GABAergic cortical interneuron
Ina,L5 extratelencephalic projecting glutamatergic cortical neuron
Ina,corticothalamic-projecting glutamatergic cortical neuron
Ina,L6 corticothalamic-projecting glutamatergic cortical neuron
Inha,duct epithelial cell
Inha,granulosa cell
Inha,Leydig cell
Inpp4b,cerebellar Golgi cell
Inpp4b,granule cell
Inpp4b,cerebellar granule cell
Inpp4b,pericyte
Inpp4b,mural cell
Inpp5d,phagocyte
Inpp5d,macrophage
Inpp5d,tissue-resident macrophage
Inpp5d,central nervous system macrophage
Inpp5d,microglial cell
Inpp5d,hematopoietic cell
Inpp5d,leukocyte
Inpp5d,professional antigen presenting cell
Inpp5d,dendritic cell
Inpp5d,conventional dendritic cell
Inpp5d,myeloid leukocyte
Inpp5d,mast cell
Inpp5d,myeloid cell
Ins1,epithelial cell
Ins1,pancreatic ductal cell
Ins1,pancreatic endocrine cell
Ins1,type B pancreatic cell
Ins1,pancreatic A cell
Ins1,pancreatic D cell
Ins1,pancreatic PP cell
Ins1,pancreatic acinar cell
Ins1,glandular epithelial cell
Ins1,enteroendocrine cell
Ins1,PP cell
Ins1,endocrine cell
Ins1,pancreatic stellate cell
Insm1,epithelial cell
Insm1,pancreatic endocrine cell
Insm1,type B pancreatic cell
Insm1,pancreatic A cell
Insm1,pancreatic D cell
Insm1,pancreatic PP cell
Insm1,glandular epithelial cell
Insm1,enteroendocrine cell
Insm1,PP cell
Insm1,endocrine cell
Insr,blood vessel endothelial cell
Insr,endothelial stalk cell
Insr,prostate gland microvascular endothelial cell
Insr,endothelial cell of vascular tree
Insrr,kidney collecting duct epithelial cell
Insrr,kidney collecting duct principal cell
Insrr,renal principal cell
Insrr,renal intercalated cell
Insrr,renal beta-intercalated cell
Insrr,kidney collecting duct cell
Iqgap1,alveolar macrophage
Iqgap1,lung macrophage
Iqgap2,kidney glomerular epithelial cell
Iqgap2,podocyte
Irak2,astrocyte
Irf1,vein endothelial cell
Irf1,kidney capillary endothelial cell
Irf1,capillary endothelial cell
Irf1,prostate gland microvascular endothelial cell
Irf1,kidney cortex artery cell
Irf1,smooth muscle cell of trachea
Irf4,lymphocyte
Irf4,B cell
Irf4,late pro-B cell
Irf4,plasma cell
Irf5,classical monocyte
Irf5,dendritic cell
Irf5,conventional dendritic cell
Irf5,Langerhans cell
Irf5,myeloid dendritic cell
Irf5,monocyte
Irf5,intermediate monocyte
Irf5,promonocyte
Irf7,kidney cortex artery cell
Irf7,Kupffer cell
Irf8,dendritic cell
Irf8,plasmacytoid dendritic cell
Irf8,CD1c-positive myeloid dendritic cell
Irf8,precursor B cell
Irf8,macrophage dendritic cell progenitor
Irs1,renal intercalated cell
Irs1,renal beta-intercalated cell
Irs1,kidney loop of Henle medullary thick ascending limb epithelial cell
Irs2,vascular leptomeningeal cell
Irs2,mesothelial fibroblast
Irx2,keratinocyte stem cell
Irx2,epithelial cell of lung
Irx2,epithelial cell of alveolus of lung
Irx2,pneumocyte
Irx2,type I pneumocyte
Irx2,pancreatic A cell
Irx3,epithelial cell of lung
Irx3,epithelial cell of alveolus of lung
Irx3,pneumocyte
Irx3,type II pneumocyte
Irx3,granulosa cell
Irx3,fenestrated cell
Irx3,ovarian surface epithelial cell
Irx3,lung secretory cell
Irx5,keratinocyte stem cell
Irx5,epithelial cell of lung
Irx5,epithelial cell of alveolus of lung
Irx5,pneumocyte
Irx5,type II pneumocyte
Irx5,lung secretory cell
Isca1,basophil
Isca1,immature B cell
Isca1,erythroid lineage cell
Isca1,erythroblast
Isca1,granulocytopoietic cell
Isg15,vasa recta descending limb cell
Isg15,kidney cortex artery cell
Isg15,smooth muscle cell of trachea
Isg20,immature B cell
Isg20,erythroblast
Isl1,epithelial cell
Isl1,pancreatic endocrine cell
Isl1,pancreatic A cell
Isl1,pancreatic D cell
Isl1,pancreatic PP cell
Isl1,glandular epithelial cell
Isl1,enteroendocrine cell
Isl1,PP cell
Isl1,endocrine cell
Itga1,endothelial cell
Itga1,kidney loop of Henle thin descending limb epithelial cell
Itga1,vascular leptomeningeal cell
Itga1,mesothelial fibroblast
Itga1,pericyte
Itga1,mesangial cell
Itga1,mural cell
Itga2b,endothelial cell of lymphatic vessel
Itga2b,eosinophil
Itga2b,mature B cell
Itga2b,naive B cell
Itga4,non-classical monocyte
Itga4,alpha-beta T cell
Itga4,mature alpha-beta T cell
Itga4,"CD4-positive, alpha-beta T cell"
Itga4,"CD8-positive, alpha-beta T cell"
Itga4,regulatory T cell
Itga6,granulosa cell
Itga6,ovarian surface epithelial cell
Itga7,Schwann cell
Itga7,mesangial cell
Itga8,fibroblast of lung
Itga8,mesangial cell
Itga9,neuron associated cell (sensu Vertebrata)
Itga9,oligodendrocyte precursor cell
Itgal,alveolar macrophage
Itgal,lung macrophage
Itgal,monocyte
Itgal,non-classical monocyte
Itgal,intermediate monocyte
Itgal,"CD8-positive, alpha-beta T cell"
Itgal,innate lymphoid cell
Itgal,natural killer cell
Itgam,phagocyte
Itgam,macrophage
Itgam,tissue-resident macrophage
Itgam,central nervous system macrophage
Itgam,microglial cell
Itgam,hematopoietic cell
Itgam,blood cell
Itgam,granulocyte
Itgam,neutrophil
Itgam,leukocyte
Itgam,professional antigen presenting cell
Itgam,myeloid leukocyte
Itgam,myeloid cell
Itgax,alveolar macrophage
Itgax,lung macrophage
Itgax,dendritic cell
Itgb1,smooth muscle cell
Itgb1,vascular associated smooth muscle cell
Itgb1,aortic smooth muscle cell
Itgb1,hepatic stellate cell
Itgb2,hematopoietic cell
Itgb2,blood cell
Itgb2,granulocyte
Itgb2,eosinophil
Itgb2,neutrophil
Itgb2,leukocyte
Itgb2,non-classical monocyte
Itgb2,immature alpha-beta T cell
Itgb2,immature NK T cell
Itgb2,natural killer cell
Itgb2,myeloid cell
Itgb5,Sertoli cell
Itgb5,phagocyte
Itgb5,macrophage
Itgb5,tissue-resident macrophage
Itgb5,central nervous system macrophage
Itgb5,microglial cell
Itgb5,professional antigen presenting cell
Itgb6,kidney loop of Henle ascending limb epithelial cell
Itgb6,kidney loop of Henle thick ascending limb epithelial cell
Itgb6,kidney loop of Henle cortical thick ascending limb epithelial cell
Itgb6,kidney loop of Henle thin ascending limb epithelial cell
Itgb6,kidney loop of Henle epithelial cell
Itgb6,kidney loop of Henle thin descending limb epithelial cell
Itgb7,basophil
Itgb7,dendritic cell
Itgb7,conventional dendritic cell
Itgb7,myeloid dendritic cell
Itgb7,CD1c-positive myeloid dendritic cell
Itgb7,mononuclear cell
Itgb7,immature alpha-beta T cell
Itgb7,immature NK T cell
Itgb7,regulatory T cell
Itgb7,DN4 thymocyte
Itgb7,promonocyte
Itgb8,glioblast
Itgb8,hypendymal cell
Itk,T cell
Itk,alpha-beta T cell
Itk,mature alpha-beta T cell
Itk,"CD4-positive, alpha-beta T cell"
Itk,"CD8-positive, alpha-beta T cell"
Itk,mature NK T cell
Itk,mature T cell
Itk,innate lymphoid cell
Itpkb,glomerular endothelial cell
Itpr1,Purkinje cell
Itpr2,renal intercalated cell
Itpr2,renal beta-intercalated cell
Itpr2,renal alpha-intercalated cell
Itpr2,neuron associated cell (sensu Vertebrata)
Itpr2,oligodendrocyte precursor cell
Itpr2,pericyte
Izumo1r,alpha-beta T cell
Izumo1r,mature alpha-beta T cell
Izumo1r,"CD4-positive, alpha-beta T cell"
Izumo1r,"CD8-positive, alpha-beta T cell"
Izumo1r,mature T cell
Jag1,kidney cortex artery cell
Jag1,mesangial cell
Jag2,basal cell of prostate epithelium
Jak1,endothelial cell of lymphatic vessel
Jak1,endothelial cell of sinusoid
Jak1,endothelial cell of hepatic sinusoid
Jak1,natural killer cell
Jak2,eosinophil
Jak2,CD141-positive myeloid dendritic cell
Jak2,myeloid dendritic cell
Jam2,endothelial cell of coronary artery
Jam2,endothelial cell
Jam2,endothelial cell of sinusoid
Jam2,endothelial cell of hepatic sinusoid
Jam2,cardiac endothelial cell
Jam2,kidney cortex artery cell
Jam2,smooth muscle cell of the pulmonary artery
Jam3,endothelial cell of lymphatic vessel
Jaml,CD1c-positive myeloid dendritic cell
Jarid2,kidney connecting tubule epithelial cell
Jchain,plasma cell
Jpt1,erythrocyte
Jpt1,neural progenitor cell
Jup,basal cell
Jup,basal cell of epidermis
Jup,stem cell of epidermis
Jup,squamous epithelial cell
Jup,keratinocyte
Jup,stratified epithelial cell
Jup,epidermal cell
Kansl2,cell of skeletal muscle
Kcnc1,interneuron
Kcnc1,cortical interneuron
Kcnc1,cerebral cortex GABAergic interneuron
Kcnc1,lamp5 GABAergic cortical interneuron
Kcnc1,sncg GABAergic cortical interneuron
Kcnc1,vip GABAergic cortical interneuron
Kcnc1,sst GABAergic cortical interneuron
Kcnc1,pvalb GABAergic cortical interneuron
Kcnc1,inhibitory interneuron
Kcnc1,GABAergic neuron
Kcnc2,interneuron
Kcnc2,cortical interneuron
Kcnc2,cerebral cortex GABAergic interneuron
Kcnc2,vip GABAergic cortical interneuron
Kcnc2,sst GABAergic cortical interneuron
Kcnc2,sst chodl GABAergic cortical interneuron
Kcnc2,pvalb GABAergic cortical interneuron
Kcnc2,inhibitory interneuron
Kcnc2,Cajal-Retzius cell
Kcnc2,GABAergic neuron
Kcnc2,meis2 expressing cortical GABAergic cell
Kcnh1,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Kcnh8,neuron associated cell (sensu Vertebrata)
Kcnh8,oligodendrocyte precursor cell
Kcnj10,glioblast
Kcnj10,kidney collecting duct epithelial cell
Kcnj10,kidney collecting duct principal cell
Kcnj10,renal principal cell
Kcnj10,kidney distal convoluted tubule epithelial cell
Kcnj10,kidney collecting duct cell
Kcnj6,cerebellar Golgi cell
Kcnj6,hippocampal neuron
Kcnj8,muscle cell
Kcnj8,smooth muscle cell
Kcnj8,vascular leptomeningeal cell
Kcnj8,pulmonary interstitial fibroblast
Kcnj8,mesothelial fibroblast
Kcnj8,pericyte
Kcnj8,mural cell
Kcnk10,granule cell
Kcnk10,cerebellar granule cell
Kcnk2,Cajal-Retzius cell
Kcnk2,L5/6 near-projecting glutamatergic neuron of the primary motor cortex
Kcnk2,vascular leptomeningeal cell (Mmus)
Kcnk5,ciliated epithelial cell
Kcnk5,columnar/cuboidal epithelial cell
Kcnma1,neural cell
Kcnma1,neuron
Kcnma1,cerebellar Golgi cell
Kcnma1,Purkinje cell
Kcnma1,glutamatergic neuron
Kcnma1,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron
Kcnma1,corticothalamic-projecting glutamatergic cortical neuron
Kcnma1,L6 corticothalamic-projecting glutamatergic cortical neuron
Kcnmb2,interneuron
Kcnmb2,cortical interneuron
Kcnmb2,cerebral cortex GABAergic interneuron
Kcnmb2,lamp5 GABAergic cortical interneuron
Kcnmb2,vip GABAergic cortical interneuron
Kcnmb2,sst GABAergic cortical interneuron
Kcnmb2,pvalb GABAergic cortical interneuron
Kcnmb2,inhibitory interneuron
Kcnmb2,GABAergic neuron
Kcnn2,astrocyte
Kcnn2,Bergmann glial cell
Kcnn2,astrocyte of the cerebellum
Kcnn4,late pro-B cell
Kcnn4,plasma cell
Kcnq1,renal intercalated cell
Kcnq1,renal beta-intercalated cell
Kcnq1,renal alpha-intercalated cell
Kcnq1,kidney connecting tubule epithelial cell
Kcnq1,cerebellar Golgi cell
Kcnq3,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Kcnt2,vip GABAergic cortical interneuron
Kcnt2,L5/6 near-projecting glutamatergic neuron of the primary motor cortex
Kdm4a,Langerhans cell
Kdm5b,Sertoli cell
Kdm5b,mesothelial cell
Kdm5b,granulosa cell
Kdm5b,mesenchymal cell
Kdm6b,smooth muscle cell of trachea
Kdm6b,skeletal muscle satellite cell
Kdm6b,muscle precursor cell
Kdm6b,mast cell
Kdm6b,chondrocyte
Kdr,epithelial cell
Kdr,blood vessel endothelial cell
Kdr,endothelial cell of coronary artery
Kdr,kidney efferent arteriole endothelial cell
Kdr,endothelial cell of artery
Kdr,kidney capillary endothelial cell
Kdr,fenestrated cell
Kdr,glomerular endothelial cell
Kdr,endothelial cell
Kdr,endothelial cell of vascular tree
Kdr,endothelial cell of sinusoid
Kdr,endothelial cell of hepatic sinusoid
Kdr,cardiac endothelial cell
Khdrbs1,mesothelial cell
Khdrbs1,skeletal muscle fiber
Khdrbs1,mesenchymal cell
Khdrbs2,L5 extratelencephalic projecting glutamatergic cortical neuron
Khdrbs2,glutamatergic neuron
Khdrbs2,corticothalamic-projecting glutamatergic cortical neuron
Khdrbs2,L6 corticothalamic-projecting glutamatergic cortical neuron
Kif1b,neural cell
Kit,renal alpha-intercalated cell
Kit,mast cell
Kit,interneuron
Kit,lamp5 GABAergic cortical interneuron
Kit,inhibitory interneuron
Kitl,Sertoli cell
Kitl,endothelial stalk cell
Kitl,endothelial cell of coronary artery
Kitl,endothelial cell of artery
Kitl,granulosa cell
Kitl,ovarian surface epithelial cell
Kl,kidney collecting duct epithelial cell
Kl,kidney collecting duct principal cell
Kl,renal principal cell
Kl,kidney distal convoluted tubule epithelial cell
Kl,kidney epithelial cell
Kl,kidney cortex tubule cell
Kl,kidney connecting tubule epithelial cell
Kl,epithelial cell of nephron
Kl,kidney cell
Kl,kidney collecting duct cell
Klc3,stem cell
Klc3,keratinocyte stem cell
Klc3,basal cell
Klc3,stem cell of epidermis
Klc3,luminal epithelial cell of mammary gland
Klc3,squamous epithelial cell
Klc3,keratinocyte
Klc3,stratified epithelial cell
Klc3,epidermal cell
Klc3,mammary gland epithelial cell
Klf1,basophil
Klf1,erythrocyte
Klf1,enucleate erythrocyte
Klf1,immature B cell
Klf1,megakaryocyte-erythroid progenitor cell
Klf1,erythroid lineage cell
Klf1,erythroblast
Klf1,hematopoietic precursor cell
Klf1,myeloid lineage restricted progenitor cell
Klf1,granulocytopoietic cell
Klf10,luminal epithelial cell of mammary gland
Klf10,mammary gland epithelial cell
Klf12,interneuron
Klf12,pvalb GABAergic cortical interneuron
Klf12,GABAergic neuron
Klf4,keratinocyte stem cell
Klf4,kidney cortex artery cell
Klf4,tracheobronchial smooth muscle cell
Klf4,bronchial smooth muscle cell
Klhl21,basal epithelial cell of tracheobronchial tree
Klhl21,smooth muscle cell of trachea
Klhl21,chondrocyte
Klhl3,kidney distal convoluted tubule epithelial cell
Klhl3,kidney connecting tubule epithelial cell
Klk1b4,pancreatic acinar cell
Klk1b4,acinar cell
Klra8,innate lymphoid cell
Klra8,natural killer cell
Klrb1c,mononuclear cell
Klrb1c,lymphocyte
Klrb1c,alpha-beta T cell
Klrb1c,mature alpha-beta T cell
Klrb1c,"CD4-positive, alpha-beta T cell"
Klrb1c,"CD8-positive, alpha-beta T cell"
Klrb1c,mature NK T cell
Klrb1c,mature T cell
Klrb1c,DN4 thymocyte
Klrb1c,innate lymphoid cell
Klrb1c,natural killer cell
Klrc1,alpha-beta T cell
Klrc1,mature alpha-beta T cell
Klrc1,"CD4-positive, alpha-beta T cell"
Klrc1,"CD8-positive, alpha-beta T cell"
Klrc1,mature T cell
Klrc1,innate lymphoid cell
Klrc1,natural killer cell
Klrd1,hematopoietic stem cell
Klrd1,dendritic cell
Klrd1,conventional dendritic cell
Klrd1,mononuclear cell
Klrd1,lymphocyte
Klrd1,T cell
Klrd1,alpha-beta T cell
Klrd1,mature alpha-beta T cell
Klrd1,"CD8-positive, alpha-beta T cell"
Klrd1,"effector CD8-positive, alpha-beta T cell"
Klrd1,mature NK T cell
Klrd1,mature T cell
Klrd1,innate lymphoid cell
Klrd1,natural killer cell
Klrd1,macrophage dendritic cell progenitor
Klrg1,mature NK T cell
Klrg1,innate lymphoid cell
Klrg1,natural killer cell
Klrk1,mononuclear cell
Klrk1,lymphocyte
Klrk1,T cell
Klrk1,alpha-beta T cell
Klrk1,mature alpha-beta T cell
Klrk1,"CD4-positive, alpha-beta T cell"
Klrk1,"CD8-positive, alpha-beta T cell"
Klrk1,mature NK T cell
Klrk1,mature T cell
Klrk1,DN4 thymocyte
Klrk1,innate lymphoid cell
Klrk1,natural killer cell
Kmt2d,glomerular endothelial cell
Kpna2,myeloid lineage restricted progenitor cell
Kpnb1,skeletal muscle fiber
Kpnb1,cell of skeletal muscle
Kpnb1,mesenchymal cell
Krt20,enterocyte
Krt20,enterocyte of epithelium of large intestine
Krt20,intestinal epithelial cell
Krt20,epithelial cell of large intestine
Krt79,alveolar macrophage
Krt79,lung macrophage
Ksr2,Purkinje cell
Lag3,plasmacytoid dendritic cell
Lag3,mature B cell
Lag3,naive B cell
Lag3,regulatory T cell
Lag3,precursor B cell
Lag3,macrophage dendritic cell progenitor
Lama1,leptomeningeal cell
Lama1,vascular leptomeningeal cell
Lama1,vascular leptomeningeal cell (Mmus)
Lama1,fibroblast
Lama1,mesothelial fibroblast
Lama2,neuron associated cell
Lama2,glial cell
Lama2,macroglial cell
Lama2,astrocyte
Lama2,Bergmann glial cell
Lama2,astrocyte of the cerebellum
Lama2,leptomeningeal cell
Lama2,vascular leptomeningeal cell (Mmus)
Lama2,connective tissue cell
Lama2,fibroblast
Lama2,pericyte
Lama2,mural cell
Lama4,vascular leptomeningeal cell
Lama4,fibroblast of connective tissue of prostate
Lama4,mesothelial fibroblast
Lamb1,vascular leptomeningeal cell
Lamb1,mesothelial fibroblast
Lamb2,smooth muscle cell of trachea
Lamb2,mesangial cell
Lamb3,keratinocyte stem cell
Lamc1,mesenchymal stem cell of adipose tissue
Lamc1,vascular leptomeningeal cell
Lamc1,vascular leptomeningeal cell (Mmus)
Lamc1,fibroblast of cardiac tissue
Lamc1,mesothelial fibroblast
Lamc1,pericyte
Lamc1,mural cell
Lamp1,Kupffer cell
Lamp1,tracheobronchial smooth muscle cell
Lamp1,bronchial smooth muscle cell
Lamp1,promonocyte
Lamp2,kidney proximal convoluted tubule epithelial cell
Lamp2,endothelial cell of sinusoid
Lamp2,endothelial cell of hepatic sinusoid
Lamp2,hepatic stellate cell
Lamp3,epithelial cell of lung
Lamp3,epithelial cell of alveolus of lung
Lamp3,pneumocyte
Lamp3,type II pneumocyte
Lamp3,lung secretory cell
Lamp5,lamp5 GABAergic cortical interneuron
Lamtor2,naive T cell
Lamtor4,neutrophil
Laptm4b,Sertoli cell
Laptm4b,granulosa cell
Lat,leukocyte
Lat,mononuclear cell
Lat,lymphocyte
Lat,T cell
Lat,alpha-beta T cell
Lat,immature alpha-beta T cell
Lat,immature NK T cell
Lat,mature alpha-beta T cell
Lat,"CD4-positive, alpha-beta T cell"
Lat,"CD8-positive, alpha-beta T cell"
Lat,mature NK T cell
Lat,mature T cell
Lat,regulatory T cell
Lat,immature T cell
Lat,thymocyte
Lat,double negative thymocyte
Lat,DN3 thymocyte
Lat,DN4 thymocyte
Lat,innate lymphoid cell
Lats2,mesangial cell
Lbr,eosinophil
Lbr,mature B cell
