gene,cell_type
Aif1,dendritic cell
Aif1,conventional dendritic cell
Aif1,myeloid dendritic cell
Aif1,CD1c-positive myeloid dendritic cell
Aif1,myeloid leukocyte
Aif1,myeloid cell
Aif1l,kidney collecting duct epithelial cell
Aif1l,kidney collecting duct principal cell
Aif1l,renal principal cell
Aif1l,renal intercalated cell
Aif1l,renal beta-intercalated cell
Aif1l,renal alpha-intercalated cell
Aif1l,kidney loop of Henle thick ascending limb epithelial cell
Aif1l,kidney collecting duct cell
Akap5,multi-ciliated epithelial cell
Akap5,ciliated columnar cell of tracheobronchial tree
Akap5,ciliated cell of the bronchus
Akap5,epithelial cell of lung
Akap5,epithelial cell of alveolus of lung
Akap5,pneumocyte
Akap5,type I pneumocyte
Akap5,bronchial epithelial cell
Akr1b3,mesothelial cell of pleura
Akr1b3,mesothelial cell of visceral pleura
Akr1b3,epithelial cell of prostate
Akr1b3,luminal cell of prostate epithelium
Akt1,Leydig cell
Aldh1a2,mesothelial cell
Aldh1a2,mesothelial cell of pleura
Aldh1a2,mesothelial cell of visceral pleura
Aldh1a2,ovarian surface epithelial cell
Aldh1a2,vascular leptomeningeal cell (Mmus)
Aldh1a3,luminal epithelial cell of mammary gland
Aldh1a3,mammary gland epithelial cell
Aldh1l1,glioblast
Aldh1l1,renal intercalated cell
Aldh1l1,renal beta-intercalated cell
Aldh1l1,renal alpha-intercalated cell
Aldh1l1,hepatocyte
Aldh2,smooth muscle cell of the pulmonary artery
Aldh3a1,basal cell
Aldh3a1,basal cell of epidermis
Aldh3a1,stem cell of epidermis
Aldh3a1,keratinocyte
Aldh3a1,stratified epithelial cell
Aldh3a1,urothelial cell
Aldh3a1,bladder urothelial cell
Aldh3a1,epidermal cell
Aldh3a1,bladder cell
Aldoa,Sertoli cell
Aldoa,Leydig cell
Aldoc,glioblast
Aldoc,luminal epithelial cell of mammary gland
Aldoc,mammary gland epithelial cell
Aldoc,neuron associated cell
Aldoc,glial cell
Aldoc,macroglial cell
Aldoc,astrocyte
Aldoc,astrocyte of the cerebellum
Alk,interneuron
Alk,cortical interneuron
Alk,lamp5 GABAergic cortical interneuron
Alk,sst chodl GABAergic cortical interneuron
Alk,inhibitory interneuron
Alk,GABAergic neuron
Alox12,kidney efferent arteriole endothelial cell
Alox12,urothelial cell
Alox12,urethra urothelial cell
Alox12,epithelial cell of urethra
Alox12b,squamous epithelial cell
Alox15,urethra urothelial cell
Alox15,epithelial cell of urethra
Alox15,eosinophil
Alox15,mature B cell
Alox15,naive B cell
Alox5,blood cell
Alox5,granulocyte
Alox5,eosinophil
Alox5,neutrophil
Alox5,Langerhans cell
Alox5,mature B cell
Alox5,naive B cell
Als2,granule cell
Als2,cerebellar granule cell
Amer1,stromal cell of ovary
Amer1,interstitial cell of ovary
Amh,duct epithelial cell
Amhr2,duct epithelial cell
Amhr2,Sertoli cell
Amhr2,squamous epithelial cell
Amhr2,granulosa cell
Amhr2,ovarian surface epithelial cell
Amy1,pancreatic acinar cell
Amy1,acinar cell
Amy2a5,pancreatic acinar cell
Amy2a5,acinar cell
Ang,pancreatic A cell
Angpt1,kidney connecting tubule epithelial cell
Angpt1,astrocyte of the cerebellum
Angptl4,fibroblast of lung
Ank1,Purkinje cell
Ank2,neural cell
Ank2,Bergmann glial cell
Ank2,neuron
Ano1,luminal epithelial cell of mammary gland
Ano1,seminal vesicle glandular cell
Ano1,urothelial cell
Ano1,urethra urothelial cell
Ano1,mammary gland epithelial cell
Ano1,epithelial cell of urethra
Ano1,pericyte
Ano1,mural cell
Anp32e,thymocyte
Anp32e,DN3 thymocyte
Anxa6,muscle cell
Anxa6,smooth muscle cell
Anxa6,vascular associated smooth muscle cell
Anxa6,aortic smooth muscle cell
Anxa6,immature alpha-beta T cell
Anxa6,immature NK T cell
Aox3,basal epithelial cell of tracheobronchial tree
Aox3,leptomeningeal cell
Apba1,sncg GABAergic cortical interneuron
Apba1,cerebellar Golgi cell
Apc,meis2 expressing cortical GABAergic cell
Apex1,mesothelial cell
Apex1,skeletal muscle fiber
Apln,blood vessel endothelial cell
Apln,endothelial cell of artery
Apln,endothelial cell of vascular tree
Apln,tracheobronchial smooth muscle cell
Apln,bronchial smooth muscle cell
Aplnr,squamous epithelial cell
Aplnr,blood vessel endothelial cell
Aplnr,vein endothelial cell
Aplnr,endothelial cell of artery
Aplnr,capillary endothelial cell
Aplnr,endothelial cell
Aplnr,endothelial cell of vascular tree
Aplp2,endocardial cell
Apoa1,hepatocyte
Apoa1,endothelial cell of sinusoid
Apoa1,endothelial cell of hepatic sinusoid
Apob,hepatocyte
Apobec1,classical monocyte
Apobec3,mononuclear cell
Apobec3,lymphocyte
Apobec3,immature alpha-beta T cell
Apobec3,immature NK T cell
Apobec3,B cell
Apobec3,precursor B cell
Apobec3,erythroid progenitor cell
Apobec3,"erythroid progenitor cell, mammalian"
Apobec3,macrophage dendritic cell progenitor
App,sncg GABAergic cortical interneuron
Appl2,astrocyte
Aqp2,duct epithelial cell
Aqp2,kidney collecting duct epithelial cell
Aqp2,kidney collecting duct principal cell
Aqp2,renal principal cell
Aqp2,kidney connecting tubule epithelial cell
Aqp2,kidney collecting duct cell
Aqp3,keratinocyte stem cell
Aqp3,basal cell of epidermis
Aqp3,keratinocyte
Aqp3,stratified epithelial cell
Aqp3,bladder urothelial cell
Aqp3,basal epithelial cell of tracheobronchial tree
Aqp3,epidermal cell
Aqp3,bladder cell
Aqp4,kidney collecting duct epithelial cell
Aqp4,kidney collecting duct principal cell
Aqp4,renal principal cell
Aqp4,basal epithelial cell of tracheobronchial tree
Aqp4,astrocyte of the cerebellum
Aqp4,kidney collecting duct cell
Aqp5,multi-ciliated epithelial cell
Aqp5,ciliated columnar cell of tracheobronchial tree
Aqp5,ciliated cell of the bronchus
Aqp5,luminal epithelial cell of mammary gland
Aqp5,epithelial cell of lung
Aqp5,epithelial cell of alveolus of lung
Aqp5,pneumocyte
Aqp5,type I pneumocyte
Aqp5,type II pneumocyte
Aqp5,respiratory epithelial cell
Aqp5,epithelial cell of lower respiratory tract
Aqp5,bronchial epithelial cell
Aqp5,basal epithelial cell of tracheobronchial tree
Aqp5,mammary gland epithelial cell
Aqp5,lung secretory cell
Aqp6,kidney collecting duct epithelial cell
Aqp6,kidney collecting duct principal cell
Aqp6,renal principal cell
Aqp6,renal intercalated cell
Aqp6,renal beta-intercalated cell
Aqp6,renal alpha-intercalated cell
Aqp6,kidney collecting duct cell
Ar,seminal vesicle glandular cell
Ar,urethra urothelial cell
Ar,basal cell of prostate epithelium
Ar,epithelial cell of urethra
Ar,fibroblast of connective tissue of prostate
Ar,stromal cell of ovary
Ar,interstitial cell of ovary
Araf,cortical interneuron
Arg1,pancreatic D cell
Arg2,mast cell
Arhgap17,ovarian surface epithelial cell
Arhgap17,plasmacytoid dendritic cell
Arhgap31,blood vessel endothelial cell
Arhgap31,vein endothelial cell
Arhgap31,vasa recta descending limb cell
Arhgap31,endothelial stalk cell
Arhgap31,capillary endothelial cell
Arhgap31,endothelial cell
Arhgap31,endothelial cell of vascular tree
Arhgap31,neuron associated cell (sensu Vertebrata)
Arhgap31,oligodendrocyte precursor cell
Arhgef1,eosinophil
Arhgef1,T cell
Arhgef1,alpha-beta T cell
Arhgef1,immature alpha-beta T cell
Arhgef1,immature NK T cell
Arhgef1,"CD8-positive, alpha-beta T cell"
Arhgef1,regulatory T cell
Arhgef1,immature T cell
Arhgef1,thymocyte
Arhgef1,double negative thymocyte
Arhgef1,DN4 thymocyte
Arhgef12,astrocyte of the cerebellum
Arhgef15,endothelial cell of coronary artery
Arhgef15,kidney capillary endothelial cell
Arhgef15,glomerular endothelial cell
Arhgef15,cardiac endothelial cell
Arhgef28,kidney loop of Henle thin ascending limb epithelial cell
Arhgef28,kidney loop of Henle thin descending limb epithelial cell
Arhgef6,dendritic cell
Arid3a,erythrocyte
Arid5b,basal epithelial cell of tracheobronchial tree
Arid5b,skeletal muscle satellite cell
Arid5b,muscle precursor cell
Arl13b,skeletal muscle satellite cell
Arl13b,muscle precursor cell
Arnt2,sncg GABAergic cortical interneuron
Arnt2,sst GABAergic cortical interneuron
Arnt2,GABAergic neuron
Arntl,Purkinje cell
Arrb2,blood cell
Arrb2,granulocyte
Arrb2,neutrophil
Arrb2,megakaryocyte-erythroid progenitor cell
Arrb2,granulocytopoietic cell
Arrdc3,prostate gland microvascular endothelial cell
Asap1,L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Asap1,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Aspa,neuron associated cell
Aspa,glial cell
Aspa,macroglial cell
Aspa,oligodendrocyte
Aspa,Schwann cell
Aspa,cardiac neuron
Atf4,bladder cell
Atf5,type B pancreatic cell
Atf5,hepatocyte
Atoh1,goblet cell
Atoh1,intestine goblet cell
Atoh1,large intestine goblet cell
Atp1b2,Sertoli cell
Atp1b2,astrocyte of the cerebellum
Atp1b2,vascular leptomeningeal cell (Mmus)
Atp1b2,mesangial cell
Atp2a2,cardiac muscle cell
Atp2a3,goblet cell
Atp2a3,intestine goblet cell
Atp2a3,large intestine goblet cell
Atp2b2,neural cell
Atp2b2,neuron
Atp2b2,glutamatergic neuron
Atp2b2,L2/3-6 intratelencephalic projecting glutamatergic cortical neuron
Atp2b2,L4/5 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Atp2b2,corticothalamic-projecting glutamatergic cortical neuron
Atp2b2,L6 corticothalamic-projecting glutamatergic cortical neuron
Atp2b3,ependymal cell
Atp2b4,pyramidal neuron
Atp2b4,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Atp2b4,L2/3 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Atp2b4,L6b glutamatergic cortical neuron
Atp4a,kidney collecting duct epithelial cell
Atp4a,kidney collecting duct principal cell
Atp4a,renal principal cell
Atp4a,kidney distal convoluted tubule epithelial cell
Atp4a,kidney loop of Henle ascending limb epithelial cell
Atp4a,kidney loop of Henle thick ascending limb epithelial cell
Atp4a,kidney loop of Henle epithelial cell
Atp4a,kidney collecting duct cell
Atp5o,mesothelial cell of pleura
Atp5o,mesothelial cell of visceral pleura
Atp5o,dendritic cell
Atp5o,conventional dendritic cell
Atp5o,stromal cell
Atp6v0d2,kidney collecting duct epithelial cell
Atp6v0d2,kidney collecting duct principal cell
Atp6v0d2,renal principal cell
Atp6v0d2,renal intercalated cell
Atp6v0d2,renal beta-intercalated cell
Atp6v0d2,renal alpha-intercalated cell
Atp6v0d2,alveolar macrophage
Atp6v0d2,lung macrophage
Atp6v0d2,kidney collecting duct cell
Atraid,pancreatic endocrine cell
Atraid,pancreatic D cell
Atraid,pancreatic PP cell
Atraid,glandular epithelial cell
Atraid,enteroendocrine cell
Atraid,PP cell
Atraid,endocrine cell
Atxn1,lamp5 GABAergic cortical interneuron
Avpr2,kidney collecting duct epithelial cell
Avpr2,kidney collecting duct principal cell
Avpr2,renal principal cell
Avpr2,kidney collecting duct cell
Axl,mesenchymal stem cell of adipose tissue
Axl,Kupffer cell
Axl,alveolar macrophage
Axl,lung macrophage
Axl,fibroblast of cardiac tissue
B3gnt2,kidney cortex artery cell
B4galnt1,T cell
B4galnt1,immature alpha-beta T cell
B4galnt1,immature NK T cell
B4galnt1,mature NK T cell
B4galnt1,mature T cell
B4galnt1,naive T cell
B4galnt1,double negative thymocyte
B4galnt1,DN4 thymocyte
B4galnt2,intestinal crypt stem cell
B4galnt2,enterocyte
B4galnt2,enterocyte of epithelium of large intestine
B4galnt2,goblet cell
B4galnt2,intestine goblet cell
B4galnt2,large intestine goblet cell
B4galnt2,intestinal epithelial cell
B4galnt2,epithelial cell of large intestine
Bace2,epithelial cell
Bace2,pancreatic endocrine cell
Bace2,type B pancreatic cell
Bace2,glandular epithelial cell
Bace2,enteroendocrine cell
Bace2,urethra urothelial cell
Bace2,endocardial cell
Bace2,epithelial cell of urethra
Bace2,endocrine cell
Bach1,CD141-positive myeloid dendritic cell
Bach1,vascular leptomeningeal cell
Bach1,mesothelial fibroblast
Bach2,GABAergic neuron
Baiap2,pyramidal neuron
Baiap2,L6 intratelencephalic projecting glutamatergic neuron of the primary motor cortex
Baiap2,corticothalamic-projecting glutamatergic cortical neuron
Baiap2,L6 corticothalamic-projecting glutamatergic cortical neuron
Batf,CD141-positive myeloid dendritic cell
Batf,immature alpha-beta T cell
Batf,immature NK T cell
Batf3,dendritic cell
Batf3,CD141-positive myeloid dendritic cell
Batf3,conventional dendritic cell
Batf3,myeloid dendritic cell
Baz1a,Langerhans cell
Bcam,ciliated cell of the bronchus
Bcam,mesothelial cell of pleura
Bcam,mesothelial cell of visceral pleura
Bcam,epithelial cell of lung
Bcam,epithelial cell of alveolus of lung
Bcam,pneumocyte
Bcam,type I pneumocyte
Bcam,bronchial epithelial cell
Bcam,kidney cortex artery cell
Bcam,mesangial cell
